City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,sunny isles beach,25.9506,-80.1228,28.34,71,0,3.09,US,1694059082
213,longyearbyen,78.2186,15.6401,2.91,81,75,8.75,SJ,1694059083
214,severo-yeniseyskiy,60.3725,93.0408,9.71,89,100,3.11,RU,1694059083
215,vorkuta,67.5,64.0,14.23,65,100,4.02,RU,1694059083
216,mejit,10.2753,170.8646,28.43,74,100,3.54,MH,1694059083
217,constantia,44.1833,28.65,20.39,58,57,6.77,RO,1694059084
218,macia,-25.0269,33.0989,15.04,92,2,0.78,MZ,1694059084
219,lazaro cardenas,17.9583,-102.2,26.83,81,97,0.92,MX,1694059085
220,san patricio,28.017,-97.5169,29.94,72,0,5.46,US,1694059085
221,baukau,51.5526,7.2042,20.03,72,16,1.34,DE,1694059085
222,fada,9.5667,8.3,19.98,95,29,1.02,NG,1694059086
223,durban,-29.8579,31.0292,9.51,64,26,2.77,ZA,1694059086
224,chonchi,-42.6128,-73.8092,7.84,98,95,2.17,CL,1694059086
225,qianzhou,28.3167,109.7167,30.17,63,85,3.28,CN,1694058832
226,fisterra,42.9049,-9.2629,16.68,78,33,5.87,ES,1694059087
227,christchurch,-43.5333,172.6333,20.11,38,40,4.63,NZ,1694058861
228,nguigmi,14.2495,13.1092,27.96,60,30,3.45,NE,1694059087
229,lamar,33.6668,-95.5836,29.24,73,0,3.09,US,1694059088
230,sinabang,2.4803,96.3801,29.22,71,100,2.51,ID,1694059088
231,reyes,-14.3167,-67.3833,25.39,60,100,1.13,BO,1694059088
232,palora,-1.7,-77.9333,17.2,93,33,1.91,EC,1694059089
233,ocean city,39.2776,-74.5746,27.22,77,2,0.89,US,1694058997
234,urucui,-7.2294,-44.5561,26.66,35,73,3.21,BR,1694059089
235,redding,40.5865,-122.3917,26.57,55,5,0.45,US,1694058874
236,sydney,-33.8679,151.2073,29.78,50,0,9.26,AU,1694058870
237,karaman,37.0833,33.25,18.22,54,0,1.84,TR,1694059090
238,mwinilunga,-11.7358,24.4293,17.01,64,8,1.28,ZM,1694059090
239,ancaster,43.2257,-79.9767,23.01,88,88,0.51,CA,1694059091
240,parnu,58.3859,24.4971,7.05,100,30,0.0,EE,1694059091
241,severnoye,56.3491,78.3619,9.03,95,100,3.17,RU,1694059091
242,isangel,-19.55,169.2667,27.06,61,40,4.63,VU,1694059091
243,kuala terengganu,5.3302,103.1408,29.97,74,20,2.57,MY,1694059092
244,kingston,17.997,-76.7936,29.53,89,20,4.12,JM,1694058867
245,happy valley-goose bay,53.3168,-60.3315,22.17,56,20,6.17,CA,1694059092
246,uliastay,47.7417,96.8444,14.58,43,41,3.31,MN,1694059092
247,pasighat,28.0667,95.3333,33.76,54,2,1.77,IN,1694059093
248,tucurui,-3.7661,-49.6725,24.72,58,27,2.16,BR,1694059093
249,salym,60.0625,71.4789,12.42,60,52,1.64,RU,1694059093
250,damghan,36.1683,54.348,27.37,22,3,0.74,IR,1694059094
251,darab,28.7519,54.5444,30.35,31,0,0.66,IR,1694059094
252,dolores,-36.3132,-57.6792,11.3,75,100,8.54,AR,1694059094
253,necochea,-38.5473,-58.7368,8.71,74,100,8.25,AR,1694059095
254,newman,37.3138,-121.0208,26.19,43,0,0.89,US,1694059095
255,dera bugti,29.0307,69.151,33.55,29,0,1.73,PK,1694059095
256,cruz alta,-28.6386,-53.6064,14.42,86,96,5.84,BR,1694059096
257,al ghayzah,16.2079,52.176,26.68,77,11,2.27,YE,1694059096
258,saint-joseph,-21.3667,55.6167,23.04,64,2,2.56,RE,1694059096
259,mangrol,21.1167,70.1167,28.48,75,79,7.08,IN,1694059097
260,hancheng,32.5186,112.3522,30.46,53,5,3.87,CN,1694059097
261,ust'-kulom,61.6864,53.6902,12.26,89,100,2.57,RU,1694059097
262,chom thong,18.4174,98.6743,31.89,77,95,1.06,TH,1694059084
263,mersa matruh,31.3525,27.2453,27.11,65,0,5.14,EG,1694059098
264,buala,-8.145,159.5921,29.26,73,82,5.72,SB,1694059098
265,santiago de cao,-7.9589,-79.2392,20.07,83,73,3.6,PE,1694059098
266,carnarvon,-24.8667,113.6333,24.24,32,36,7.31,AU,1694059099
267,akureyri,65.6835,-18.0878,9.96,100,100,0.0,IS,1694058801
